"date","close","volume","open","high","low"

"2015/09/11","529.4400","3224850.0000","521.0700","529.4400","520.6050"
"2015/09/10","522.2400","2568076.0000","515.1500","526.1300","514.7800"
"2015/09/09","516.8900","4348685.0000","524.0000","529.9500","515.0600"
"2015/09/08","517.5400","3805809.0000","508.6900","518.3500","508.5144"
"2015/09/04","499.0000","2687005.0000","497.6500","502.8500","495.6400"
"2015/09/03","504.7200","3143336.0000","514.5000","515.8400","502.5700"
"2015/09/02","510.5500","3693798.0000","505.0900","510.8600","497.7200"
"2015/09/01","496.5400","3850262.0000","499.1400","510.0000","493.4300"
"2015/08/31","512.8900","2995288.0000","516.4400","519.4100","509.0700"
"2015/08/28","518.0100","2744599.0000","517.5000","521.5000","513.0400"
"2015/08/27","518.3700","6094488.0000","513.7100","522.6900","507.2610"
"2015/08/26","500.7700","6336253.0000","484.0200","503.7200","478.7600"
"2015/08/25","466.3700","5663689.0000","487.4900","489.4400","466.2500"
"2015/08/24","463.3700","10073890.0000","463.5800","489.7600","451.0000"
"2015/08/21","494.4700","6699569.0000","507.3600","512.3300","494.4700"
"2015/08/20","515.7800","4396219.0000","530.3900","533.2500","515.7700"
"2015/08/19","532.9200","2319977.0000","533.7400","537.2500","529.0000"
"2015/08/18","535.0200","2070178.0000","535.0400","539.4900","533.0000"
"2015/08/17","535.2200","2578646.0000","531.2900","538.7400","527.1200"
"2015/08/14","531.5200","1992026.0000","528.2500","534.1100","528.2500"
"2015/08/13","529.6600","2889732.0000","527.3700","534.6600","525.4846"
"2015/08/12","525.9100","4013276.0000","523.7500","527.5000","513.0600"
"2015/08/11","527.4600","2671531.0000","523.6500","528.9800","522.0000"
"2015/08/10","524.0000","2608601.0000","528.5200","532.2764","523.0000"
"2015/08/07","522.6200","3961597.0000","529.1600","529.4599","518.2100"
"2015/08/06","529.4600","3814499.0000","539.3000","542.7400","527.5200"
"2015/08/05","537.0100","2887675.0000","538.8000","539.1400","534.1190"
"2015/08/04","531.9000","2926462.0000","529.6900","536.9500","529.1630"
"2015/08/03","535.0300","3004564.0000","537.4500","540.4400","529.3600"
"2015/07/31","536.1500","2980011.0000","539.0900","542.8400","534.5201"
"2015/07/30","536.7600","3738558.0000","527.6500","539.2000","524.2900"
"2015/07/29","529.0000","3742816.0000","530.9200","532.9655","525.0200"
"2015/07/28","526.0300","5265864.0000","536.0000","536.3900","523.1200"
"2015/07/27","531.4100","7485538.0000","527.7500","544.9500","526.6000"
"2015/07/24","529.4200","21854940.0000","578.9900","580.5700","529.3500"
"2015/07/23","482.1800","8904893.0000","491.6600","491.6600","475.7000"
"2015/07/22","488.2700","3098513.0000","485.9900","492.5000","484.9000"
"2015/07/21","488.0000","3160014.0000","487.9000","488.8800","482.5500"
"2015/07/20","488.1000","4737976.0000","492.5700","493.2000","485.4000"
"2015/07/17","483.0100","4927238.0000","477.7000","485.4200","477.2500"
"2015/07/16","475.4800","4081118.0000","465.5000","475.8800","464.8000"
"2015/07/15","461.1900","2983710.0000","463.0400","464.7000","460.2000"
"2015/07/14","465.5700","4730098.0000","462.3200","469.6000","458.1600"
"2015/07/13","455.5700","3946441.0000","448.2900","457.8700","447.5400"
"2015/07/10","443.5100","2398160.0000","440.4900","444.7200","439.0000"
"2015/07/09","434.3900","2266851.0000","434.9000","438.7200","434.1500"
"2015/07/08","429.7000","2380426.0000","434.3500","435.9900","428.8300"
"2015/07/07","436.7200","3453557.0000","435.6800","437.7300","425.5700"
"2015/07/06","436.0400","1902889.0000","435.2300","439.7300","433.5200"
"2015/07/02","437.7100","1341938.0000","437.0000","438.2000","433.4800"
"2015/07/01","437.3900","1985409.0000","439.3500","440.0000","435.5800"
"2015/06/30","434.0900","2595616.0000","434.2000","435.5700","430.4600"
"2015/06/29","429.8600","2745119.0000","434.9800","437.0000","429.0000"
"2015/06/26","438.1000","2623536.0000","441.7600","443.4900","435.0600"
"2015/06/25","440.1000","2236818.0000","438.0700","443.4700","436.3900"
"2015/06/24","440.8400","2619568.0000","444.9700","446.4700","440.2300"
"2015/06/23","445.9900","3239099.0000","435.5900","447.0400","433.6900"
"2015/06/22","436.2900","1768342.0000","437.0000","439.2400","434.1800"
"2015/06/19","434.9200","4491439.0000","440.2600","444.9900","433.2400"
"2015/06/18","439.3900","3374401.0000","430.3000","439.7300","429.4050"
"2015/06/17","427.8100","2184858.0000","428.3600","431.3500","424.7530"
"2015/06/16","427.2600","2296924.0000","424.1500","427.9700","422.6700"
"2015/06/15","423.6700","2048590.0000","427.6600","428.0500","422.6400"
"2015/06/12","429.9200","2052699.0000","431.2500","432.3600","428.2600"
"2015/06/11","432.9700","2921969.0000","432.2900","438.8900","431.4700"
"2015/06/10","430.7700","2170425.0000","426.4600","432.2000","425.6600"
"2015/06/09","425.4800","2286910.0000","422.9600","427.4900","419.1400"
"2015/06/08","423.5000","2171525.0000","425.6200","426.8000","421.4250"
"2015/06/05","426.9500","1905461.0000","429.6600","430.8000","426.5000"
"2015/06/04","430.7800","2508063.0000","434.4000","436.7550","429.2600"
"2015/06/03","436.5900","2726798.0000","434.4000","438.3900","432.7500"
"2015/06/02","430.9900","1669803.0000","430.0700","433.2300","426.2500"
"2015/06/01","430.9200","2251885.0000","430.4000","433.1600","426.2000"
"2015/05/29","429.2300","3014703.0000","427.2300","432.5000","427.2300"
"2015/05/28","426.5700","1908236.0000","429.7100","431.3500","425.4700"
"2015/05/27","431.4200","2227888.0000","427.4500","431.8500","425.0100"
"2015/05/26","425.4700","2239411.0000","426.2000","427.0000","422.0000"
"2015/05/22","427.6300","2018905.0000","431.5500","432.4400","427.6100"
"2015/05/21","431.6300","4115003.0000","428.0000","436.9000","428.0000"
"2015/05/20","423.8600","2192808.0000","420.6000","427.1000","418.3600"
"2015/05/19","421.7100","2464309.0000","424.8700","428.2400","420.6300"
"2015/05/18","425.2400","2389023.0000","426.0000","427.2700","421.4600"
"2015/05/15","426.0000","4234294.0000","428.0000","430.3962","424.3000"
"2015/05/14","432.2800","1883300.0000","429.4500","433.0000","427.0100"
"2015/05/13","426.8700","1995586.0000","429.9800","433.5280","425.8000"
"2015/05/12","431.0200","1946725.0000","431.0800","433.2500","426.7100"
"2015/05/11","432.8500","2391479.0000","432.5100","439.0000","431.3700"
"2015/05/08","433.6900","2907934.0000","430.7500","435.2000","430.1740"
"2015/05/07","426.8800","2762915.0000","424.1500","428.5000","422.8500"
"2015/05/06","419.1000","2548175.0000","421.4300","422.7165","414.5500"
"2015/05/05","421.1900","2855612.0000","422.8500","427.5100","421.0200"
"2015/05/04","423.0400","2267420.0000","424.8000","429.7700","422.4200"
"2015/05/01","422.8700","3428724.0000","423.8200","425.6400","416.0000"
"2015/04/30","421.7800","3645492.0000","427.1100","431.7500","419.2400"
"2015/04/29","429.3700","3616655.0000","426.7500","434.2400","426.0300"
"2015/04/28","429.3100","4134186.0000","438.5100","439.0000","428.0400"
"2015/04/27","438.5600","5426185.0000","443.8600","446.9900","437.4100"
"2015/04/24","445.1000","17160220.0000","439.0000","452.6500","439.0000"
"2015/04/23","389.9900","7673583.0000","390.2100","391.8800","386.1500"
"2015/04/22","389.8000","3470790.0000","391.9100","394.2800","388.0000"
"2015/04/21","391.1800","4639595.0000","391.3100","394.6000","386.8000"
"2015/04/20","389.5100","5005286.0000","378.5500","391.9400","377.0000"
"2015/04/17","375.5600","3834778.0000","382.6300","383.5600","374.4000"
"2015/04/16","386.0400","2074427.0000","383.6900","387.4500","383.5500"
